index,artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,cos,percentile
92260,Iyaz,5dQl5T7iHpxQuPJj72yJ8Z,Replay - Donni Hotwheel Club Mix,0.0631,0.6729999999999999,195573,0.932,0.0,9,0.0567,-3.438,1,0.0418,91.066,4,0.416,0,40.73705677012091,0.9016324437675547
109517,Lynyrd Skynyrd,5KvY698Og3AomuQjQdxWIV,Sweet Home Alabama (with All Special Guests) - Live in Atlantic City,0.674,0.28600000000000003,411547,0.871,0.000929,7,0.6829999999999999,-8.576,1,0.0735,102.42,4,0.5710000000000001,36,21.33872979304093,0.5977667740676397
85061,Dido,27wwy7I3YW0timX81ro6KL,White Flag,0.33,0.512,240040,0.531,3.500000000000001e-06,5,0.0811,-6.789,1,0.0402,169.951,4,0.302,25,12.11905955025308,0.8040608282375271
56459,Calvin Harris,5GtQkJTQ01zxZ9xRuIBRyY,Summer,0.0211,0.596,222533,0.856,0.0178,4,0.141,-3.556,0,0.0346,127.949,4,0.743,33,48.69983075021495,0.5520078369546084
87190,The Cranberries,6XKv6ZUpghrz96imZfpOX3,Zombie,0.0139,0.309,308293,0.64,0.00343,7,0.3670000000000001,-8.915,1,0.034,166.96900000000005,4,0.274,20,11.827732501297874,0.7999892854136214
124209,Charlie Puth,5cF0dROlMOK5uNZtivgu50,Attention,0.109,0.775,208787,0.613,2.33e-05,3,0.134,-4.586,0,0.0542,100.066,4,0.797,84,34.4650569358217,0.9028799277530747
4328,Portugal. The Man,13jAmGsxnll2G8gIMXjgvc,"Feel It Still - ""Weird Al"" Yankovic Remix",0.28,0.568,161467,0.934,0.000136,11,0.117,-4.856,0,0.0464,158.037,4,0.965,29,24.909641099825944,0.5050473355119659
3738,Midland,7AY1uEEkYfFLFCEuc8QvUH,Drinkin' Problem (Brindemos),0.16699999999999998,0.417,220720,0.718,0.0,9,0.301,-5.494,1,0.0327,203.847,4,0.7879999999999999,41,16.177521716654425,0.8899458913387875
56406,Alessia Cara,3q2dUd7f4YVn161pX9R0kF,Scars To Your Beautiful,0.0299,0.594,230240,0.738,0.0,0,0.109,-6.01,1,0.134,97.057,4,0.38,22,5.6610772912119245,0.788417532124626
85152,The All-American Rejects,7BjTdNOw823a0gRi5D8v4w,Gives You Hell,0.017,0.7240000000000001,215693,0.643,0.0,4,0.0638,-7.855,1,0.0354,99.96,4,0.544,18,64.8531497268968,0.916556331937886
3028,Demi Lovato,2scOpCkXHdjx5Pba0T1S68,Tell Me You Love Me - Spanish Version,0.0205,0.5489999999999999,238040,0.606,0.0,6,0.16699999999999998,-5.404,1,0.0318,82.023,4,0.261,53,43.88756578928926,0.7100250262124702
123223,Rogue Wave,30lubdu2sSFsZsGQJVGjRG,Lake Michigan,0.0423,0.4370000000000001,228349,0.823,6e-06,3,0.0903,-7.047999999999999,1,0.0411,81.354,3,0.754,51,52.0223398341044,0.6216220353122154
124037,Trippie Redd,0AcicReEGm1qcENjqzh1Tg,Love Scars 3,0.136,0.544,129429,0.524,0.0,8,0.106,-7.914,1,0.0621,81.98200000000001,4,0.117,77,8.686827116005132,0.7680445114531275
61282,Selena,6pEcj8cuZ5LpkxAMxFXQTX,Dreaming Of You,0.315,0.617,314907,0.455,8.18e-05,0,0.0507,-10.800999999999998,0,0.0295,82.89399999999998,4,0.197,17,6.4441309788681345,0.384209760988191
23760,Jauz,71k5Xn5BSv4jBYQtYGjzzA,Feel The Volume - Ben Nicky Remix,0.0303,0.662,192000,0.941,0.489,5,0.275,-3.527,1,0.0551,150.007,4,0.118,31,26.51114282880434,0.6673733191492618
85055,First Aid Kit,4XNGdIV2aQNPYg1aPbO0SV,Stay Gold,0.262,0.514,251000,0.74,4.7e-06,0,0.126,-4.377,1,0.0398,95.959,4,0.377,26,18.243094047249045,0.9515624162922939
38084,Logic,52bEpsfjhc5Cm98PAcFdRI,1-800-273-8255,0.58,0.621,250173,0.58,1.12e-06,5,0.191,-7.702000000000001,0,0.043,100.047,4,0.377,20,5.045261322054861,0.3053044855850547
7683,Camila Cabello,4ptonNXwbPtpiPX062ruaM,Havana - No Rap Version,0.225,0.75,174747,0.495,3.13e-05,2,0.149,-5.101,1,0.0336,106.019,4,0.439,39,30.499097571188422,0.8777236095910854
80602,Macy Gray,0fb2p5wZZxd5d3TnrU3aGO,I Try,0.304,0.5589999999999999,238067,0.637,0.000195,2,0.0783,-7.495,1,0.0321,152.885,4,0.782,28,41.84404801111417,0.4829829408478299
